Club Name,League,Country,Stadium Phone,Official Website
Arsenal FC,Premier League,England,+44 20 7619 5003,https://www.arsenal.com
Bayern Munich,Bundesliga,Germany,+49 89 69931-0,https://fcbayern.com
Inter Milan,Serie A,Italy,+39 02 82719080,https://www.inter.it
Paris Saint-Germain,Ligue 1,France,+33 1 47 43 71 71,https://www.psg.fr
Real Madrid,La Liga,Spain,+34 91 398 43 00,https://www.realmadrid.com
Juventus,Serie A,Italy,+39 011 45 30 486,https://www.juventus.com
AC Milan,Serie A,Italy,pizza delivery,https://www.acmilan.com
Liverpool FC,Premier League,England,+44-INVALID,liverpool dot com
Manchester City,Premier League,England,+44 161 444 1894,htt://mancity
Chelsea FC,Premier League,England,+44 20 7386 9373,https://www.chelseafc.com
