Airport,Country,IATA,Last Inspection Date,Passengers_M
Singapore Changi Airport,Singapore,SIN,2025-02-11,68
Suvarnabhumi Airport,Thailand,BKK,2025-02-10,60
Noi Bai International Airport,Vietnam,HAN,2025-02-09,29
Kuala Lumpur International Airport,Malaysia,KUL,2025-02-08,47
Soekarno–Hatta International Airport,Indonesia,CGK,2025-02-07,54
Manila Ninoy Aquino Airport,Philippines,MNL,2025-02-06,48
Coconut Volcano Runway,Unknown,LOL,31-02-2025,0
Bangkok Don Mueang Airport,Thailand,DMK,2025-02-05,41
Hanoi Sky Noodles,Vietnam,PHO,FEBRUARY SOMETIME,0
Phuket International Airport,Thailand,HKT,2025-02-04,18
