Attraction,District,Opening Timestamp,Ticket Price,Visitor Rating
Victoria Peak,Central,2025-01-10 08:00:00,HK$75,4.7
Tian Tan Buddha,Lantau,2025-01-10 09:30:00,HK$50,4.6
Hong Kong Disneyland,Lantau,2025-01-10 10:00:00,HK$639,4.8
Avenue of Stars,Tsim Sha Tsui,2025-01-10 07:45:00,Free,4.5
Ocean Park,Southern,2025-01-10 09:00:00,HK$498,4.4
Symphony of Lights,Victoria Harbour,tomorrow morning,Free,4.6
Dim Sum Airship,Fantasy,2025/99/77,HK$999,1.0
Ngong Ping 360,Lantau,2025-01-10 08:30:00,HK$235,4.5
Temple Street Market,Yau Ma Tei,2025-01-10 18:00:00,Free,4.3
Star Ferry,Central,2025-01-10 06:30:00,HK$5,4.4
